Pair,Session,Interlocutor,Joint decision,Transcription,trial_group
6,2,A,96,og slap ,12
6,2,B,96,og når den er ja og når den er grøn med pletter slap så er den to fuck det er besværligt ,12
6,2,A,96,det var tre det er jeg ret sikker på at det var lige meget om den havde pletter eller ej nemlig ,12
6,2,B,96,var det nå ,12
7,1,A,1,jeg tænker på er det fordi vi skal gennemskue systemet ,1
7,1,B,1,ja det tror jeg jeg tror der er et eller andet øhh et eller andet ,1
7,1,A,1, koncept ,1
7,1,B,1,ja,1
7,1,A,1,ja,1
7,1,B,1,men altså den første den ved vi selvfølgelig ikke noget om ,1
7,1,A,1,okay men vi skal virkelig være gode til at lagre informationer så,1
7,1,B,1,ja,1
7,1,A,1,okay observer store arme,1
7,1,B,1,men den har i hvert fald prikker,1
7,1,B,1,ja og den har store arme,1
7,1,A,1,tykke ben den har øjne hugtænder ,1
7,1,B,1,ja så tror jeg også der er noget med den farve der tror jeg,1
7,1,A,1,tror du det ,1
7,1,B,1,ja det ,1
7,1,A,1,den ligner bare dem der var præsenteret hernede synes jeg det ligner de alle sammen ,1
7,1,B,1,havde de allesammen ,1
7,1,A,1,men jeg er ikke sikker,1
7,1,B,1,nej okay,1
7,1,A,1,øhm,1
7,1,B,1,men den har store øjne også kan man sige,1
7,1,A,1,mmhh så vi skal vurdere om ,1
7,1,B,1,jeg tror bare man skal tage den safe til at starte med det tænker jeg indtil man ved lidt mere om det,1
7,1,A,1,hvad tænker du man skal gøre ,1
7,1,B,1,køre den safe altså bare slå ihjel indtil man så det ikke giver minuspoint fra starten af nu aner vi jo ikke noget om ,1
7,1,A,1,men det giver da også minuspoint at vælge hvis det så er et forkert svar ,1
7,1,B,1,gjorde det ,1
7,1,A,1,ja uanset hvad,1
7,1,B,1,nårh okay jeg trøde kun det var hvis øhh hvis man fik det der givet der ,1
7,1,A,1,nej jeg det ved jeg sgu ikke det kan da godt være vi kan også bare prøve at slå ihjel er det ikke treeren ,1
7,1,B,1,jo,1
7,1,B,2,okay det var ikke så godt så fandt vi ud af at ,1
7,1,A,2,okay okay okay ,1
7,1,A,2, øjne øhm ,1
7,1,B,2,den har bare ingen prikker og ingen muskler,1
7,1,A,2,den er lidt kedelig tynde ben men har vildt aggressive øjnene er virkelig aggressive,1
7,1,B,2,ja,1
7,1,A,2,jeg tror ikke den er venlig jeg tror ikke det er sådan en der er ligegyldig kunne du ikke godt forestille dig den hedder jelly eller ,1
7,1,B,2,så er jeg mere ovre på fireeren hvis det er,1
7,1,A,2,tap and kill ,1
7,1,B,2,ja,1
7,1,A,2,eller kill and tap,1
7,1,A,2,så du tror der er begge dele du tror både der er jelly og at ,1
7,1,B,2,ja jeg tror jamen jeg tror at øhh,1
7,1,A,2,vi tar chancen vi tar chancen ,1
7,1,B,2,okay vi tager forskellige så,1
7,1,B,3,okay den har fuldstændig det samme bortset fra at den er grøn og så har den ikke prikker,1
7,1,A,3,nej den anden havde også tykke ben,1
7,1,B,3,havde den det ,1
7,1,A,3,mmh,1
7,1,B,3,men nu kan jeg ikke huske hvad de sagde den anden den fra,1
7,1,A,3,jeg lagde slet ikke mærke til det men vi tog forkert ved at dræbe den så den havde nok skal vi ikke antage at den måske havde noget jelly ,1
7,1,B,3,okay vi prøver toeren så,1
7,1,A,3,skal vi det ,1
7,1,B,3,skal vi ikk det ,1
7,1,A,3,men den er også grøn den er meget anderledes vi prøver toeren så har vi prøvet lidt af hvert ,1
7,1,A,4,okay den ligner rigtig meget den anden som er friendly den eneste forskel er sådan set bare at den har tykke ben,1
7,1,B,4,ja og øjnene var øjnene ikke store på den anden ,1
7,1,A,4,nej,1
7,1,B,4,på den vi lige har haft,1
7,1,A,4,den lige før hvor vi fik substance fra den havde,1
7,1,B,4,den havde store øjne,1
7,1,A,4,ja men den før det nummer to alien den havde små øjne den eneste forskel var bare at den havde tynde ben og den var friendly det var den vi prøvede at tap and kill ,1
7,1,B,4,ja det selvfølgelig rigtigt,1
7,1,A,4,jeg siger jeg siger friendly jeg ved det bare ikke ,1
7,1,B,4,men det kan godt være vi skal prøve den ,1
7,1,A,4,så kan det være vi ser om der er system i forhold til farve og øjne ,1
7,1,B,4,ja det gør vi,1
7,1,A,4,og prikker,1
7,1,B,5,okay der er der kun byttet rundt på ben og arme i forhold til den der var før,1
7,1,A,5,ja men jeg tror det der det er en øh jeg tror jeg tror ikke det er det samme ben og arme er alligevel også to voldsomme ting det eneste der er til fælles med den før det er farven ingen prikker og øjne det er jo også kun tre ting ud af 5 ,1
7,1,B,5,ja det er selvfølgelig rigtigt ,1
7,1,A,5,rent statistisk set ,1
7,1,B,5,men hvad har vi ellers haft mere jeg kan snart ikke engang huske de første nu ,1
7,1,B,5,øhm okay går vi efter benene lige til at starte med altså når de har tykke ben så er de friendly,1
7,1,A,5,så er de nej der var der jelly var der ikk det ,1
7,1,B,5,jo,1
7,1,A,5,ja,1
7,1,A,5,ja gør vi ikk det ,1
7,1,B,5,og der havde de tynde arme også nåe de havde tykke ben ,1
7,1,A,5,og store øjne havde de ikk store øjne ,1
7,1,B,5,jo nej den ene havde den vi lige havde ,1
7,1,A,5,det er faktisk benene vi er gået efter det er benene vi er gået efter ja hvad med den der så ,1
7,1,A,5,men spørgsmålet er skal de så bare dræbes eller er den bare ligegyldig ,1
7,1,A,5,jeg tror den er ligegyldig ,1
7,1,B,5,jamen vi kan godt prøve eneren den har vi heller ikke prøvet endnu ,1
7,1,B,6,aj men altså den der der er det jo det samme igen på nær øjnene og prikkerne ,1
7,1,A,6,det ligesom den første vi havde men der fandt vi aldrig ud af hvad den havde i virkeligheden,1
7,1,B,6,nej det er rigtigt ,1
7,1,A,6,vi har ikke haft nogen hvor vi skal dræbe den endnu ,1
7,1,B,6,nej det er rigtigt for den var jo også øhh ,1
7,1,A,6,den var den havde jo ,1
7,1,B,6,ja,1
7,1,A,6,skal vi ikk bare dræbe den jeg kan ikke genkende noget sådan den har prikker den her og den har store øjne de sidste vi har haft de har ,1
7,1,B,6,jeg tror heller ikk vi har haft nogen med prikker som var ,1
7,1,A,6,som var gode ,1
7,1,B,6,ja har vi det ,1
7,1,A,6,jeg kan ikkw huake det ,1
7,1,B,6,okay vi prøver jeg siger enten tre eller fire hvad siger du ,1
7,1,A,6,jeg siger tre ,1
7,1,A,7,okay så de har været grønne indtil videre men der har også været nogle blå,1
7,1,B,7,ja,1
7,1,A,7,og de har haft forskellige arme den her havde store øjne men tynde ben,1
7,1,B,7,ja ,1
7,1,B,7,og store arme,1
7,1,A,7,jåa ,1
7,1,B,7,men det der det er helt omvendt nu på nær at den stadig har prikkerne ,1
7,1,A,7,og farven,1
7,1,B,7,ja ,1
7,1,A,7,så tror jeg at den der jeg tror jeg tror at den er ligegyldig,1
7,1,A,7,nej vi tager skal vi ikk vi kan også prøve at se om ikke der er noget jelly inside ,1
7,1,B,7,altså har de ikk næsten allesammen haft det ,1
7,1,A,7,jo,1
7,1,B,7,nu prøver vi,1
7,1,B,8,den der har vi sgu da set før,1
7,1,A,8,måske er det det det handler om vi skal kunne huske det men så er det sikkert sådan en der skal trækkes øhh altså der skal tappes,1
7,1,B,8,altså den synes jeg jeg har set før nahh jeg er ikke sikker på at prikkerne var der men ellers så ,1
7,1,A,8,tappes hvad siger vi vi har alligevel en00 ,1
7,1,B,8,ja ,1
7,1,A,8,tap it ,1
7,1,A,9,den har vi da også haft før ,2
7,1,B,9,det er den fuldstændig samme igen bare med nogen andre øjne,2
7,1,A,9,skulle den ikke tappes vi har haft den præcis samme her har vi ikke det ,2
7,1,B,9,har vi det ,2
7,1,A,9,jo det har vi da,2
7,1,B,9,altså jeg kan slet ikke huske dem alle sammen,2
7,1,A,9,jeg kan heller ikke huske det tappes ikke tappes ,2
7,1,A,9,er vi dårlige til det her ,2
7,1,B,9,jæ lidt tror jeg ,2
7,1,B,9,men der må være et eller andet system i det jeg kan bare ikke lige ,2
7,1,A,9,men det er bare problemet er at vi har holdt øje med benene der har ikke været noget decideret system på den måde der har heller ikke været noget system ved prikkerne såvidt jeg har kunnet observere,2
7,1,B,9,nej ,2
7,1,A,9,for der var nemlig ,2
7,1,B,9,jamen jeg tror kun vi har haft når de ikke har været prikker så er det blevet tappet eller er det helt forkert ,2
7,1,A,9,har vi ikke tappet nogen med prikker dem lige før ,2
7,1,B,9,nå men den havde begge ,2
7,1,A,9, den havde begge dele ,2
7,1,B,9,ja ,2
7,1,A,9,hvad med hvad med armene måske kan det have noget med armene at gøre fordi farven har det noget at gøre med farven ,2
7,1,A,9,vi kan også lave sådan en altså der er tre runder altså tre stationer så vi kan også bare bruge første til finde ud af hvad fanden det er det handler om ,2
7,1,B,9,ja okay men tror du ikke alle ligger deri eller hvad så ligger der treto i hver eller sådan noget ,2
7,1,A,9,hun sagde jo at der var en i hver station ,2
7,1,B,9,nåårh ja det er rigtigt,2
7,1,A,9,okay så kan vi faktisk ikke rigtig bruge det til noget ,2
7,1,B,9,okay så husker vi den der fra nu af ,2
7,1,A,9,okay hvad siger vi med benene hvad var vores ting der har vi lavet en konklusion på det ,2
7,1,B,9,jamen de første vi fik de havde tykke ben ,2
7,1,A,9,og der havde de jelly i ikk ,2
7,1,B,9,ja ,2
7,1,A,9,hvis vi nu kører på at tykke ben eventuelt er en indikator på at de har ,2
7,1,B,9,ja,2
7,1,B,9,prikkerne vil jeg sige er en indikator for ikke ,2
7,1,A,9,jå øjnene har jeg ikke rigtig noget at sige til men jeg tænker umiddelbart at tynde arme er en indikator for jelly ,2
7,1,B,9,tynde arme ,2
7,1,A,9,var de ikke det har der ikke været to af dem der har haft tynde arme som har været sådan sådan lidt ,2
7,1,B,9,jeg synes det er dem der er tykke der har haft det ,2
7,1,A,9,men så den her i teorien hvis det holder lidt så burdet det være en tap and kill ,2
7,1,B,9,ja for den har prikker og den har tykke ben ,2
7,1,A,9,ja men prikker det var en indikator for at der ikke var jelly ,2
7,1,B,9,ja og tykke ben er for at der er ,2
7,1,A,9,så det kunne godt ,2
7,1,B,9,jeg tror det er fire skal vi ikke tage fireen ,2
7,1,A,9,jo ,2
7,1,A,10,what ,2
7,1,B,10,så prikkerne den har der ved øjnene ,2
7,1,A,10,den har både prikker og tykke ben,2
7,1,B,10,ja og det er det er toeren ,2
7,1,A,10,ja ,2
7,1,B,10,men så er der armene og og hvis du siger at armene de også er de ligger over mod toeren ,2
7,1,A,10,jamen det er jeg ikke sikker på det synes jeg bare jeg mindes ,2
7,1,B,10,nu bliver de også blå igen ,2
7,1,A,10,skal vi prøve toeren ,2
7,1,B,10,ja ,2
7,1,A,10,hvad er det vi misser er det farven ,2
7,1,B,10,jeg ved det fandeme ikke ,2
7,1,A,10,den er da meget neutral ,2
7,1,B,10,ja den har det helt samme som den foregående bare uden prikkerne ,2
7,1,A,10,den for to gange siden ,2
7,1,B,10,nej den vi lige havde før ,2
7,1,A,10,men den havde da tynde ben ,2
7,1,B,10,havde den tynde ben ,2
7,1,A,10,det kan jeg ikke huske nu ,2
7,1,B,10,nej jeg mener den havde tykke havde den ikke ,2
7,1,A,10,ellers skal vi gå efter indtryk bare sådan umiddelbart indtryk ,2
7,1,B,10,okay så siger jeg to til den der ,2
7,1,A,10,det gør jeg også nej jeg siger en ,2
7,1,B,10,en ,2
7,1,A,10,ja for den er fandeme ligegyldig ,2
7,1,B,10,den har vi fandeme heller ikke haft endnu så vi tager eneren ,2
7,1,A,11,to det er mit umiddelbare indtryk,2
7,1,B,11,skal vi prøve ,2
7,1,B,12,aj okay det var ikke så godt,2
7,1,A,12,hvad er det vi misser ,2
7,1,B,12,jamen jeg kan simpelthen ikke lige vurdere det jeg kan heller ikke forstå hvorfor de skal være grønne og blå ,2
7,1,A,12,det er også irriterende ,2
7,1,B,12,den der ser jo også bare helt standard ud ,2
7,1,A,12,den ligner også bare friendly men jeg tror for mig der når de ikke har prikkerne så synes jeg de ser mindre uhyggelige ud og så tænker jeg også at de har mindre værdi men det er jo bare et spørgsmål om perception ,2
7,1,B,12,men den der den minder meget om den vi havde i blå før så der vil jeg nok sige eneren ,2
7,1,A,12,som var friendly ,2
7,1,B,13,okay så hvis de bare ser helt standard ud så er de enere ,2
7,1,A,13,den ser fandeme sød ud den der med armene,2
7,1,B,13,ja men den ser også noget stærk ud ,2
7,1,A,13,men den kunne godt ligne én der havde der skulle tappes ,2
7,1,B,13,ja men det tror jeg også altså jeg tror den har et eller andet ,2
7,1,A,13,så vi går på gefühl nu ,2
7,1,B,13,ja men jeg tænker på to eller fire ,2
7,1,A,13,jeg siger fire ,2
7,1,B,13,fire ,2
7,1,A,13,ja ,2
7,1,B,13,okay nu ,2
7,1,A,14,fire,2
7,1,B,14,okay nu begynder det at blive ondt i hvert fald ja det er fire eller tre ,2
7,1,B,15,den havde vi sgu også lige før havde vi ikk ,2
7,1,A,15,det var grøn ,2
7,1,B,15,ja i grøn ,2
7,1,A,15,og den var ,2
7,1,B,15,det kan jeg ikke engang huske nu sagde vi ikke at den havde noget i sig nej det kan jeg ikke huske jo ,2
7,1,A,15,jo det var der hvor vi sagde fireeren og så var det toeren tror jeg,2
7,1,B,15,okay vi prøver toeren ,2
7,1,B,16,hmmmm ,2
7,1,A,16,fire ,2
7,1,B,16,nej jeg vil sige tre ,2
7,1,A,16,okay vi dræber den men hvorfor er det øjnene ,2
7,1,B,16,ja det tror jeg måske den ser bare uhyggelig ud ,2
7,1,A,16,okay den var tynd den har små øjne små ører små ben ,2
7,1,B,16,ja den har jo ikke noget i sig andet end at den er ond ,2
7,1,A,16,og er vi ikke enige om at prikkerne de indikerer,2
7,1,B,16,ja det er også dårligt tænker jeg ,2
7,1,A,16,når de ikke har prikker så synes vi også bare tit de er friendly jo ,2
7,1,B,16,ja men det plejer jo ,2
7,1,A,16,vi tager treeren ,2
7,1,B,17,var det to vi brugte til det nej den har andre øjne den har andre øjne ,3
7,1,A,17, griner den gar heller ikke prikker ,3
7,1,B,17,nej men ved dem vi havde lige før der havde vi også den der udgave hvor nej den havde også små ben ,3
7,1,A,17,jeg siger fireeren ,3
7,1,B,17,ja jeg er også på to eller fire ,3
7,1,A,17,jeg siger ,3
7,1,B,17,aj vi tager fireeren ,3
7,1,A,17,hov der er der forskel hvorfor er der nogle gange en pistol og andre gange et dødningehoved har du lagt mærke til det ,3
7,1,B,17,ja det er rigtigt ,3
7,1,A,17,det har det må være vi må dælme kunne ,3
7,1,B,17,hvad fanden ,3
7,1,A,17,ja de snyder os ,3
7,1,B,17,ja de gør ,3
7,1,A,17,tager vi fireeren ,3
7,1,B,17, griner hvad betyder det ,3
7,1,A,17,det må vi bare være opmærksomme på fordi ,3
7,1,B,17,okay ja men vi prøver fireeren ,3
7,1,B,18,se der har den en pistol ,3
7,1,A,18,den før den var det skal vi lige huske og der var ikke en pistol den der den er friendly ,3
7,1,A,18,nej nej den har tynde arme og ben der tog vi fejl sidste gang ,3
7,1,B,18,jamen når de har det så har jeg en eller anden ide om at så har de ikk noget jelly i sig ,3
7,1,A,18,men tror du ikk bare det er sådan associationer om at de er tynde og så er der ikke noget indhold ,3
7,1,B,18,det kan godt være ,3
7,1,A,18,vi går totalt meget glib af et eller andet stort system det frustrerer mig ,3
7,1,B,18,aj jeg er mest til eneren ,3
7,1,A,18,okay jeg kan sagtens stå inde for det ,3
7,1,B,18,okay jamen så tager vi den ,3
7,1,A,19,der var en pistol bag den før ikk ,3
7,1,B,19,jo ,3
7,1,A,19,og det var en friendly okay ,3
7,1,A,19,jamen jeg vil sige jeg vil ,3
7,1,B,19,det irriterer mig hvorfor den pistof der den kommer og så ,3
7,1,A,19,jamen der er et eller andet system i det ellers så har de bare lavet det med forskellige tidspunkter det er ikke tilfældigt det kan det simpelthen ikke være ,3
7,1,B,19,nej det tror jeg sgu heller ikke ,3
7,1,B,19,fire ,3
7,1,A,19,jeg synes også fire ,3
7,1,B,19,okay vi tager fire ,3
7,1,A,20,indtil videre har to ud af to været friendly med pistolen ,3
7,1,B,20,har de det ,3
7,1,A,20,mmmhh ,3
7,1,B,20,jeg har ikke engang lagt mærke til dem vi havde før okay men så skal vi måske lige prøve det her også ,3
7,1,A,20,skal vi prøve det kunne da være sjovt ,3
7,1,B,20,altså den der altså du vil bare tage eneren så eller hvad ,3
7,1,A,20,ja fordi umiddelbart så ville jeg faktisk ikke sige eneren til den ,3
7,1,B,20,jamen så prøv ,3
7,1,B,21,men det er som om de er oppe i den gode ende i hvert fald eller hvad enten så har de noget eller også så er de friendly nu har den der også et dødningehoved så tror jeg måske det er en af de to der ,3
7,1,A,21,så vil jeg faktisk sige fireeren jeg ved ikke hvorfor jeg ved godt at vi har snakket om at prikkerne er skidt men når de har store øjne og prikker så tænker jeg at der både er en god og en dårlig ting ,3
7,1,B,21,men det kan godt være men så ville jeg hellere have gjort det ved de andre øjne arhh for de er også dårlige sådan tænker jeg i hvert fald,3
7,1,A,21,ja men det gør jeg også ,3
7,1,B,21,men jeg synes bare at de sidste par gange at når der har været en pistol så har det været en af de to der ,3
7,1,A,21,ja ,3
7,1,B,21, og så måske når der ikke er en pistol så er det en af de to der ,3
7,1,A,21,derfor tænker jeg også den der ,3
7,1,B,21,ja prøv fireeren ,3
7,1,A,22,okay vores teori holder slet ikke der er et eller andet helt galt ,3
7,1,B,22,den der har vi haft har vi ikke ,3
7,1,A,22,jeg synes bare vi har haft dem allesamme ,3
7,1,A,22,okay tynde ben tybde arme store øjne ingen prikker ,3
7,1,B,22,friendly tænker jeg ,3
7,1,A,22,jeg tænker fandeme at den skal dø jeg tænker at den skal dø fordi den har tynde arme ,3
7,1,B,22,tror du ,3
7,1,A,22,jeg tror sgu den skal dø ,3
7,1,B,22,jamen så prøver vi vi har faktisk slet ikke haft nogen med træer endnu har vi det ,3
7,1,A,22,ikke særlig mange ,3
7,1,B,22,prøv treeren ,3
7,1,A,23,to ,3
7,1,B,23,det er den samme bare med tykke ja jeg tror også det er en toer det der ,3
7,1,A,24,okay indtil videre store øjne tynde arme ingen prikker det har været friendly i hvert fald de to sidste omgange ,3
7,1,B,24,ja ,3
7,1,A,24,har vi den samme igen ,3
7,1,B,24,okay den ja ligner den ikke på en prik ,3
7,1,A,24,der er ikke nogen forskel det var friendly ,3
7,1,B,24,ja ,3
7,1,B,25,nu har den det samme bare med prikker på ,4
7,1,A,25,så tror jeg den har en værdi ,4
7,1,B,25,prøv ,4
7,1,A,25,eller også skal den dræbes ,4
7,1,B,25,nej jeg tror at den måske jeg er mest på toeren ,4
7,1,A,26,men faktum er at den havde tynde ben tynde arme og store øjne ,4
7,1,B,26,ja ,4
7,1,A,26,og det var friendly tre ud ad tre har haft det ,4
7,1,B,26,ja det havde den også ,4
7,1,A,26,så den der må være noget andet eller ,4
7,1,B,26,men jeg synes det er underligt at der ikke kommer nogen treere ,4
7,1,A,26,ja jeg vil sige at den der er en toer ,4
7,1,A,26,den ser god fed ud og sådan har en masse jelly inden i sig ,4
7,1,B,26,men det var da også den vi havde før der altid var der havde jelly inden i men der havde den godt nok ikke prikkerne prøv to skal vi tage den ,4
7,1,A,26,ja ,4
7,1,A,27,friendly store arme tynde ben tynde arme ,4
7,1,B,27,ja men den havde bare ikke prikker den anden men ,4
7,1,A,27,så er det måske en toer ,4
7,1,B,27,aj jeg tror faktisk det er mest en ener ,4
7,1,A,27,prøv ,4
7,1,B,28,man burde jo nok have et system nu okay den ,4
7,1,A,28, er en helt anden ting ,4
7,1,B,28,ja den er helt anderledes den der ,4
7,1,A,28,jeg tænker at store arme indikerer indikerer jelly ,4
7,1,B,28,jamen det virker som om at når de er stærke så har de indhold fordi alle dem vi har haft som er tynde de har da været friendly har de ikke ,4
7,1,A,28,jo men jeg tænker også at store øjne indikerer jelly ,4
7,1,B,28,ja det tror jeg faktisk egentlig at du har ret i vi har da aldrig haft nogen med ,4
7,1,A,28,jeg tror det er en tap and kill jeg kunne godt forestille mig at den havde noget lækkert inden i sig ,4
7,1,B,28,fordi den er stor men den har nogle onde træk ,4
7,1,A,28,ja ,4
7,1,B,28,okay vi prøver fire ,4
7,1,B,29,okay den der den er så enten tap eller friendly på grund af øjnene tænker jeg ,4
7,1,A,29,men den har store ben ,4
7,1,B,29,ja og det havde den anden ikke ,4
7,1,A,29,nej ,4
7,1,A,29,det kan være ved den her kombination at den siger noget andet selvom at min umiddelbare ting rent faktisk er jelly ,4
7,1,B,29,altså jeg er mest til toeren i hvert fald,4
7,1,A,29,jeg synes vi skal gøre det så ,4
7,1,B,29,fint ,4
7,1,A,29,så gør vi det ,4
7,1,A,30,den her det er en kill ,4
7,1,B,30,ja fordi den har store ben som vidst ikke var så godt og armene er små de skulle også gerne være store ,4
7,1,A,30,altså du har lige sagt jelly for en der havde store ben ,4
7,1,B,30,havde vi det ,4
7,1,A,30,ja men den havde til gengæld også store arme og store øjne ,4
7,1,B,30,ja men den der den har både øjnene og armene der er små og onde så jer er mere ovre på ,4
7,1,A,30,jeg er på en kill jeg ved ikke med dig ,4
7,1,B,30,jamen jeg er hvert fald på tre eller fire men vi har heller ikke haft treeren så meget men det tror jeg heller ikke man skal tænke over ,4
7,1,A,30,nej eller hvad ,4
7,1,B,30,det er en treer ,4
7,1,A,30,det en treer ,4
7,1,A,31,den der det er en tap and kill den er præcis magen til den vi havde før er den ikke det med tykke ben tykke arme dots grøn ,4
7,1,B,31,jeg synes ikke jeg kan huske de uhyggelige øjne tap and kill og nu kommer den med pistolen også igen ,4
7,1,B,31,hvad er der sket hver gang den pistol er kommet ,4
7,1,A,31,jamen fandt vi ikke ud af at der var mange af dem der havde været friendly eller sådan noget eller ,4
7,1,B,31,okay jeg stemmer to og så husker vi hvad den siger ved pistolen der skal vi gøre det ,4
7,1,A,31,mmhh ,4
7,1,B,32,den der har det samme uden prikker,4
7,1,A,32,og den har tynde ben ,4
7,1,A,32,jeg tror det er en treer jeg ved ikke hvorfor jeg tror virkelig det afhænger meget af øjnene ved mig ,4
7,1,B,32,jamen sådan har jeg det også lidt de der prikker der de siger mig egentlig ikke så meget men arme de gør lidt ,4
7,1,A,32,arme det synes jeg er positivt hvis de er store ,4
7,1,B,32,ja sådan har jeg det også ,4
7,1,A,32,og jeg tager tynde ben som en lidt mindre betydende faktor ift hvis hvis arme og øjne er store og farve der synes jeg at grøn er mere positivt end blå ,4
7,1,B,32,det har jeg egentlig ikke tænkt over med farven ,4
7,1,A,32,jamen jeg ved det heller ikke det kan også være ,4
7,1,B,32,hmm men den har også en pistol det irriterer mig at man ikke lige ved hvad den der pistol den ,4
7,1,A,32,jeg vil gerne kunne se vores tidligere svar det kunne være lækkert ,4
7,1,A,32,jeg tror det er en treer ,4
7,1,B,33,okay den der den der er jeg mest til treeren ,5
7,1,A,33,der er jeg også til treeren,5
7,1,B,33,skal vi tage den ,5
7,1,A,33,ja ,5
7,1,A,34,den der tror jeg er en toer ,5
7,1,B,34,det tror jeg bare ikke når den har tynde arme men vi kan godt prøve ,5
7,1,A,34,ellers så er det en ener eller en treer nej det er ikke en treer ,5
7,1,B,34,har vi overhovedet haft nogle treere ,5
7,1,A,34,nej jo der var én der var en treer ,5
7,1,B,34,havde der det ,5
7,1,A,34,ja ,5
7,1,B,34,aj vi prøver toeren skal vi ikke det ,5
7,1,A,34,jo ,5
7,1,B,35,så blev de blå igen ,5
7,1,A,35,en ,5
7,1,B,35,ja ,5
7,1,A,35,stoere øjne tynde arme tynde ben ,5
7,1,B,35,ja lige præcis ,5
7,1,A,36,øhhhm tre to tre fire ,5
7,1,B,36,ja altså jeg vil sige to men pga øjnene så tror jeg altså også at jeg er med på fire ,5
7,1,A,36,jeg tror altså jeg er mere på fire ,5
7,1,B,36,så tager vi den ,5
7,1,A,37,to,5
7,1,B,37,ja ,5
7,1,A,38,to,5
7,1,B,38,det vil jeg også sige ,5
7,1,A,39,hvad tager vi nu ,5
7,1,B,39,den lige før det var en toer jo ,5
7,1,A,39,ja men den havde anderledes øjne havde den ikke det ,5
7,1,B,39,jo jo men den tre gange før der havde vi en magen til den der og så sagde vi fire fordi den så ud som en toer men den havde de der øjne der ,5
7,1,A,39,og der var det en toer toeren ,5
7,1,B,39, så jeg tror altså det er to ,5
7,1,A,40,hvad er tricket jeg synes ikke der er noget trick jeg vil også sige to her ,5
7,1,B,40,det som jeg lige får ud af det det er at øjenen ikke har noget at gøre fordi vi havde en uden de der prikker og så med store arme og ben og så havde vi en med de grimm øjne og så en med de andre øjne og de var begge to toere ,5
7,1,A,40,måske skal den have to enheder enten arme og ben eller øjne og arme eller øjne og ben ,5
7,1,B,40,og der har den to så siger vi to ,5
7,1,A,41,så det er også en toer ,6
7,1,B,41,ja det må det være ,6
7,1,A,41,men vi skal jo også huske at andre også godt kan have en betydning ,6
7,1,B,41,ja for der må jo være noget med hvad med prikker betyder det lille eller stor også ,6
7,1,A,41,jeg ved ikke prikkerne har ikke rigtig haft nogen betydning ikke som dominerende jeg har lidt mere lyst til at dræbe dem tror jeg eller har jeg det ,6
7,1,B,41,jeg har lyst til at sige to igen ,6
7,1,A,41,prøv det ,6
7,1,B,41,skal vi prøve ,6
7,1,A,41,ja ,6
7,1,B,42,okay der der har vi den samme som vi lige havde før igen men den har prikker på ,6
7,1,A,42,men den har også dårlige øjne ,6
7,1,B,42,ja men det havde den anden også da vi sagde to til den den eneste forskel på den der og den anden det er at den der den har prikker og det havde den anden ikke ,6
7,1,A,42,så vil jeg vurdere at det her det er en fireer ,6
7,1,B,42,fordi den ,6
7,1,A,42,bare fordi den er anderledes altså den må være ,6
7,1,B,42,jamen altså den eneste forskel det er prikkerne ,6
7,1,A,42,ja ,6
7,1,B,42,skal vi prøve fire ,6
7,1,A,42,ja ,6
7,1,B,43,okay så hvis den har prikker det er en negativ ting så ,6
7,1,A,43,selvom de andre ting er så den der den burde også være en fireer ,6
7,1,B,43,ja den er fuldstændig ens den er bare blå jo ,6
7,1,A,43,ja ,6
7,1,B,43,det vil jeg mene ,6
7,1,A,43,ja ,6
7,1,B,44,okay så prikker er altså noget negativt vil jeg sige ,6
7,1,A,44,prikker er noget negativt hvis alle de andre enheder er positive ,6
7,1,B,44,ja og der har du den helt samme bare med tynde arme ,6
7,1,A,44,friendly ,6
7,1,B,44,er det friendly så ,6
7,1,A,44,eller kill eller kill ,6
7,1,B,44,nej jeg tror faktisk det er friendly fordi at ,6
7,1,A,44,tynde arme ,6
7,1,B,44,ja fordi det har der bare tit været ,6
7,1,A,44,eller også så indikerer prikkerne at der er noget negativt i spil og derfor så er det en treer eller en fireer nej fordi vi har haft ,6
7,1,B,44,nej fordi vi har haft en del med altså jeg hælder mest til en ,6
7,1,A,44,jamen jeg kan sagtens stå inde for en ,6
7,1,A,45,to der er ikke nogen prikker der er store øjne store arme ,6
7,1,B,45,ja det er rigtigt ,6
7,1,A,46,to ,6
7,1,A,46,nej nej ,6
7,1,B,46,nej for den har små arme ,6
7,1,A,46,ja det er som om armene vægter en smule mere end de andre ting ,6
7,1,B,46,ja ,6
7,1,A,46,eller det ved jeg ikke øjnene vægter også lidt mere benene er lidt mere ligegyldigt ,6
7,1,B,46,men vi havde den der magen til havde vi ikke hvor den bare havde prikker også og det var en fireer nej det var en ,6
7,1,A,46,jeg tror prikkerne godt kan afgøre om det er en fireer eller ,6
7,1,B,46,altså jeg hælder til en eller fire ,6
7,1,A,46,jeg hælder til en ,6
7,1,B,46,skal vi prøve den ,6
7,1,A,46,ja ,6
7,1,A,47,fire nej tre ,6
7,1,B,47,ja det er en af de to i hvert fald for den har små arme og den har også tynde ben den har jo ingen ting af det overhovedet ,6
7,1,A,47,den har jo ingen karakteristika på det vi har gået med indtil videre som er ,6
7,1,B,47,det vil faktisk passe med en treer så fordi den har alle de negative ting som vi siger ,6
7,1,A,47,ja den bør være en treer ,6
7,1,B,48,okay nu har vi fandeme styr på det ,6
